Production detached bot; nine distinct60kg loose-rock bodies under14m/s2 gravity; no injected damage.
frame=0, load=0.0, qualified=False, pin=0.00, physical=True, blocked=True, health=93.274, impacts=1
frame=53, load=614.5, qualified=False, pin=0.50, physical=True, blocked=True, health=91.554, impacts=3
frame=54, load=640.6, qualified=False, pin=0.52, physical=True, blocked=True, health=91.554, impacts=3
frame=55, load=679.4, qualified=False, pin=0.54, physical=True, blocked=True, health=91.554, impacts=3
frame=56, load=682.5, qualified=False, pin=0.56, physical=True, blocked=True, health=91.554, impacts=3
frame=57, load=659.0, qualified=False, pin=0.58, physical=True, blocked=True, health=91.554, impacts=3
frame=58, load=653.7, qualified=False, pin=0.60, physical=True, blocked=True, health=91.554, impacts=3
frame=59, load=644.5, qualified=False, pin=0.62, physical=True, blocked=True, health=91.554, impacts=3
frame=60, load=660.0, qualified=False, pin=0.64, physical=True, blocked=True, health=91.554, impacts=3
frame=61, load=657.1, qualified=False, pin=0.66, physical=True, blocked=True, health=91.554, impacts=3
frame=62, load=665.7, qualified=False, pin=0.68, physical=True, blocked=True, health=91.554, impacts=3
frame=63, load=652.7, qualified=False, pin=0.70, physical=True, blocked=True, health=91.554, impacts=3
frame=64, load=635.7, qualified=False, pin=0.72, physical=True, blocked=True, health=91.554, impacts=3
frame=65, load=644.0, qualified=False, pin=0.74, physical=True, blocked=True, health=91.554, impacts=3
frame=66, load=666.3, qualified=False, pin=0.76, physical=True, blocked=True, health=91.554, impacts=3
frame=67, load=675.5, qualified=False, pin=0.78, physical=True, blocked=True, health=91.554, impacts=3
frame=68, load=670.0, qualified=False, pin=0.80, physical=True, blocked=True, health=91.554, impacts=3
frame=69, load=672.7, qualified=False, pin=0.82, physical=True, blocked=True, health=91.554, impacts=3
frame=70, load=676.4, qualified=False, pin=0.84, physical=True, blocked=True, health=91.554, impacts=3
frame=71, load=704.7, qualified=False, pin=0.86, physical=True, blocked=True, health=91.554, impacts=3
frame=72, load=690.3, qualified=False, pin=0.88, physical=True, blocked=True, health=91.554, impacts=3
frame=73, load=695.8, qualified=False, pin=0.90, physical=True, blocked=True, health=91.554, impacts=3
frame=74, load=663.2, qualified=False, pin=0.92, physical=True, blocked=True, health=91.554, impacts=3
frame=75, load=663.0, qualified=False, pin=0.94, physical=True, blocked=True, health=91.554, impacts=3
frame=76, load=645.9, qualified=False, pin=0.96, physical=True, blocked=True, health=91.554, impacts=3
frame=77, load=647.2, qualified=False, pin=0.98, physical=True, blocked=True, health=91.554, impacts=3
frame=78, load=638.8, qualified=False, pin=1.00, physical=True, blocked=True, health=91.554, impacts=3
frame=79, load=636.1, qualified=False, pin=1.02, physical=True, blocked=True, health=91.554, impacts=3
frame=80, load=633.2, qualified=False, pin=1.04, physical=True, blocked=True, health=91.554, impacts=3
frame=81, load=612.8, qualified=False, pin=1.06, physical=True, blocked=True, health=91.554, impacts=3
frame=82, load=619.8, qualified=False, pin=1.08, physical=True, blocked=True, health=91.554, impacts=3
frame=83, load=611.9, qualified=False, pin=1.10, physical=True, blocked=True, health=91.554, impacts=3
frame=84, load=623.9, qualified=False, pin=1.12, physical=True, blocked=True, health=91.554, impacts=3
frame=85, load=614.3, qualified=False, pin=1.14, physical=True, blocked=True, health=91.554, impacts=3
frame=86, load=624.5, qualified=False, pin=1.16, physical=True, blocked=True, health=91.554, impacts=3
frame=87, load=623.9, qualified=False, pin=1.18, physical=True, blocked=True, health=91.554, impacts=3
frame=88, load=609.9, qualified=False, pin=1.20, physical=True, blocked=True, health=91.554, impacts=3
frame=89, load=621.5, qualified=False, pin=1.22, physical=True, blocked=True, health=91.554, impacts=3
frame=90, load=612.8, qualified=False, pin=1.24, physical=True, blocked=True, health=91.554, impacts=3
frame=91, load=624.9, qualified=False, pin=1.25, physical=True, blocked=True, health=91.299, impacts=3
frame=92, load=613.1, qualified=False, pin=1.25, physical=True, blocked=True, health=91.049, impacts=3
frame=93, load=624.2, qualified=False, pin=1.25, physical=True, blocked=True, health=90.794, impacts=3
frame=94, load=613.5, qualified=False, pin=1.25, physical=True, blocked=True, health=90.543, impacts=3
frame=95, load=619.2, qualified=False, pin=1.25, physical=True, blocked=True, health=90.291, impacts=3
frame=96, load=618.4, qualified=False, pin=1.25, physical=True, blocked=True, health=90.038, impacts=3
frame=97, load=606.9, qualified=False, pin=1.25, physical=True, blocked=True, health=89.791, impacts=3
frame=98, load=614.2, qualified=False, pin=1.25, physical=True, blocked=True, health=89.540, impacts=3
frame=99, load=615.6, qualified=False, pin=1.25, physical=True, blocked=True, health=89.289, impacts=3
frame=100, load=601.1, qualified=False, pin=1.25, physical=True, blocked=True, health=89.043, impacts=3
frame=101, load=612.4, qualified=False, pin=1.25, physical=True, blocked=True, health=88.793, impacts=3
frame=102, load=601.0, qualified=False, pin=1.25, physical=True, blocked=True, health=88.548, impacts=3
frame=103, load=624.4, qualified=False, pin=1.25, physical=True, blocked=True, health=88.293, impacts=3
frame=104, load=607.0, qualified=False, pin=1.25, physical=True, blocked=True, health=88.045, impacts=3
frame=105, load=616.4, qualified=False, pin=1.25, physical=True, blocked=True, health=87.794, impacts=3
frame=106, load=606.1, qualified=False, pin=1.25, physical=True, blocked=True, health=87.546, impacts=3
frame=107, load=611.7, qualified=False, pin=1.25, physical=True, blocked=True, health=87.297, impacts=3
frame=108, load=610.2, qualified=False, pin=1.25, physical=True, blocked=True, health=87.048, impacts=3
frame=109, load=595.9, qualified=False, pin=1.25, physical=True, blocked=True, health=86.804, impacts=3
frame=110, load=611.7, qualified=False, pin=1.25, physical=True, blocked=True, health=86.555, impacts=3
frame=111, load=620.2, qualified=False, pin=1.25, physical=True, blocked=True, health=86.302, impacts=3
frame=112, load=601.6, qualified=False, pin=1.25, physical=True, blocked=True, health=86.056, impacts=3
frame=113, load=613.9, qualified=False, pin=1.25, physical=True, blocked=True, health=85.806, impacts=3
frame=114, load=606.4, qualified=False, pin=1.25, physical=True, blocked=True, health=85.558, impacts=3
frame=115, load=617.1, qualified=False, pin=1.25, physical=True, blocked=True, health=85.306, impacts=3
frame=116, load=602.6, qualified=False, pin=1.25, physical=True, blocked=True, health=85.060, impacts=3
frame=117, load=616.6, qualified=False, pin=1.25, physical=True, blocked=True, health=84.808, impacts=3
frame=118, load=602.7, qualified=False, pin=1.25, physical=True, blocked=True, health=84.562, impacts=3
frame=119, load=616.3, qualified=False, pin=1.25, physical=True, blocked=True, health=84.311, impacts=3
frame=120, load=603.7, qualified=False, pin=1.25, physical=True, blocked=True, health=84.065, impacts=3
frame=121, load=617.9, qualified=False, pin=1.25, physical=True, blocked=True, health=83.812, impacts=3
frame=122, load=603.5, qualified=False, pin=1.25, physical=True, blocked=True, health=83.566, impacts=3
frame=123, load=617.7, qualified=False, pin=1.25, physical=True, blocked=True, health=83.314, impacts=3
frame=124, load=603.3, qualified=False, pin=1.25, physical=True, blocked=True, health=83.068, impacts=3
frame=125, load=617.4, qualified=False, pin=1.25, physical=True, blocked=True, health=82.816, impacts=3
frame=126, load=603.6, qualified=False, pin=1.25, physical=True, blocked=True, health=82.569, impacts=3
frame=127, load=616.8, qualified=False, pin=1.25, physical=True, blocked=True, health=82.317, impacts=3
frame=128, load=604.9, qualified=False, pin=1.25, physical=True, blocked=True, health=82.071, impacts=3
frame=129, load=618.2, qualified=False, pin=1.25, physical=True, blocked=True, health=81.818, impacts=3
frame=130, load=606.3, qualified=False, pin=1.25, physical=True, blocked=True, health=81.571, impacts=3
frame=131, load=618.3, qualified=False, pin=1.25, physical=True, blocked=True, health=81.318, impacts=3
frame=132, load=607.7, qualified=False, pin=1.25, physical=True, blocked=True, health=81.070, impacts=3
frame=133, load=617.8, qualified=False, pin=1.25, physical=True, blocked=True, health=80.818, impacts=3
frame=134, load=610.0, qualified=False, pin=1.25, physical=True, blocked=True, health=80.569, impacts=3
frame=135, load=616.9, qualified=False, pin=1.25, physical=True, blocked=True, health=80.317, impacts=3
frame=136, load=614.8, qualified=False, pin=1.25, physical=True, blocked=True, health=80.066, impacts=3
frame=137, load=604.5, qualified=False, pin=1.25, physical=True, blocked=True, health=79.820, impacts=3
frame=138, load=617.6, qualified=False, pin=1.25, physical=True, blocked=True, health=79.568, impacts=3
frame=139, load=619.1, qualified=False, pin=1.25, physical=True, blocked=True, health=79.315, impacts=3
frame=140, load=608.5, qualified=False, pin=1.25, physical=True, blocked=True, health=79.067, impacts=3
frame=141, load=622.8, qualified=False, pin=1.25, physical=True, blocked=True, health=78.812, impacts=3
frame=142, load=613.2, qualified=False, pin=1.25, physical=True, blocked=True, health=78.562, impacts=3
frame=143, load=625.8, qualified=False, pin=1.25, physical=True, blocked=True, health=78.307, impacts=3
frame=144, load=610.1, qualified=False, pin=1.25, physical=True, blocked=True, health=78.058, impacts=3
frame=145, load=624.9, qualified=False, pin=1.25, physical=True, blocked=True, health=77.803, impacts=3
frame=146, load=619.8, qualified=False, pin=1.25, physical=True, blocked=True, health=77.550, impacts=3
frame=147, load=625.6, qualified=False, pin=1.25, physical=True, blocked=True, health=77.294, impacts=3
frame=148, load=619.3, qualified=False, pin=1.25, physical=True, blocked=True, health=77.042, impacts=3
frame=149, load=608.2, qualified=False, pin=1.25, physical=True, blocked=True, health=76.793, impacts=3
frame=150, load=617.5, qualified=False, pin=1.25, physical=True, blocked=True, health=76.541, impacts=3
frame=151, load=612.6, qualified=False, pin=1.25, physical=True, blocked=True, health=76.291, impacts=3
frame=152, load=599.8, qualified=False, pin=1.25, physical=True, blocked=True, health=76.046, impacts=3
frame=153, load=615.2, qualified=False, pin=1.25, physical=True, blocked=True, health=75.795, impacts=3
frame=154, load=614.4, qualified=False, pin=1.25, physical=True, blocked=True, health=75.544, impacts=3
frame=155, load=621.6, qualified=False, pin=1.25, physical=True, blocked=True, health=75.291, impacts=3
frame=156, load=631.1, qualified=False, pin=1.25, physical=True, blocked=True, health=75.033, impacts=3
frame=157, load=637.4, qualified=False, pin=1.25, physical=True, blocked=True, health=74.773, impacts=3
frame=158, load=639.0, qualified=False, pin=1.25, physical=True, blocked=True, health=74.512, impacts=3
frame=159, load=634.7, qualified=False, pin=1.25, physical=True, blocked=True, health=74.253, impacts=3
frame=160, load=631.7, qualified=False, pin=1.25, physical=True, blocked=True, health=73.995, impacts=3
frame=161, load=633.6, qualified=False, pin=1.25, physical=True, blocked=True, health=73.737, impacts=3
frame=162, load=626.2, qualified=False, pin=1.25, physical=True, blocked=True, health=73.481, impacts=3
frame=163, load=623.3, qualified=False, pin=1.25, physical=True, blocked=True, health=73.227, impacts=3
frame=164, load=616.5, qualified=False, pin=1.25, physical=True, blocked=True, health=72.975, impacts=3
frame=165, load=631.1, qualified=False, pin=1.25, physical=True, blocked=True, health=72.717, impacts=3
frame=166, load=620.6, qualified=False, pin=1.25, physical=True, blocked=True, health=72.464, impacts=3
frame=167, load=635.5, qualified=False, pin=1.25, physical=True, blocked=True, health=72.205, impacts=3
frame=168, load=617.3, qualified=False, pin=1.25, physical=True, blocked=True, health=71.953, impacts=3
frame=169, load=630.1, qualified=False, pin=1.25, physical=True, blocked=True, health=71.696, impacts=3
frame=170, load=621.0, qualified=False, pin=1.25, physical=True, blocked=True, health=71.442, impacts=3
frame=171, load=629.1, qualified=False, pin=1.25, physical=True, blocked=True, health=71.185, impacts=3
frame=172, load=617.3, qualified=False, pin=1.25, physical=True, blocked=True, health=70.933, impacts=3
frame=173, load=628.2, qualified=False, pin=1.25, physical=True, blocked=True, health=70.677, impacts=3
frame=174, load=620.6, qualified=False, pin=1.25, physical=True, blocked=True, health=70.424, impacts=3
frame=175, load=625.5, qualified=False, pin=1.25, physical=True, blocked=True, health=70.168, impacts=3
frame=176, load=624.3, qualified=False, pin=1.25, physical=True, blocked=True, health=69.914, impacts=3
frame=177, load=614.7, qualified=False, pin=1.25, physical=True, blocked=True, health=69.663, impacts=3
frame=178, load=624.0, qualified=False, pin=1.25, physical=True, blocked=True, health=69.408, impacts=3
frame=179, load=616.1, qualified=False, pin=1.25, physical=True, blocked=True, health=69.157, impacts=3
frame=180, load=617.1, qualified=False, pin=1.25, physical=True, blocked=True, health=68.905, impacts=3
frame=181, load=613.0, qualified=False, pin=1.25, physical=True, blocked=True, health=68.654, impacts=3
frame=182, load=610.3, qualified=False, pin=1.25, physical=True, blocked=True, health=68.405, impacts=3
frame=183, load=607.3, qualified=False, pin=1.25, physical=True, blocked=True, health=68.157, impacts=3
frame=184, load=607.1, qualified=False, pin=1.25, physical=True, blocked=True, health=67.910, impacts=3
frame=185, load=608.2, qualified=False, pin=1.25, physical=True, blocked=True, health=67.661, impacts=3
frame=186, load=604.2, qualified=False, pin=1.25, physical=True, blocked=True, health=67.415, impacts=3
frame=187, load=618.2, qualified=False, pin=1.25, physical=True, blocked=True, health=67.162, impacts=3
frame=188, load=619.3, qualified=False, pin=1.25, physical=True, blocked=True, health=66.910, impacts=3
frame=189, load=610.6, qualified=False, pin=1.25, physical=True, blocked=True, health=66.660, impacts=3
frame=190, load=622.8, qualified=False, pin=1.25, physical=True, blocked=True, health=66.406, impacts=3
frame=191, load=620.8, qualified=False, pin=1.25, physical=True, blocked=True, health=66.153, impacts=3
frame=192, load=612.4, qualified=False, pin=1.25, physical=True, blocked=True, health=65.903, impacts=3
frame=193, load=618.0, qualified=False, pin=1.25, physical=True, blocked=True, health=65.651, impacts=3
frame=194, load=610.9, qualified=False, pin=1.25, physical=True, blocked=True, health=65.401, impacts=3
frame=195, load=611.3, qualified=False, pin=1.25, physical=True, blocked=True, health=65.152, impacts=3
frame=196, load=620.8, qualified=False, pin=1.25, physical=True, blocked=True, health=64.898, impacts=3
frame=197, load=613.6, qualified=False, pin=1.25, physical=True, blocked=True, health=64.648, impacts=3
frame=198, load=624.6, qualified=False, pin=1.25, physical=True, blocked=True, health=64.393, impacts=3
frame=199, load=613.0, qualified=False, pin=1.25, physical=True, blocked=True, health=64.143, impacts=3
frame=200, load=622.1, qualified=False, pin=1.25, physical=True, blocked=True, health=63.889, impacts=3
frame=201, load=611.2, qualified=False, pin=1.25, physical=True, blocked=True, health=63.639, impacts=3
frame=202, load=616.3, qualified=False, pin=1.25, physical=True, blocked=True, health=63.388, impacts=3
frame=203, load=605.1, qualified=False, pin=1.25, physical=True, blocked=True, health=63.141, impacts=3
frame=204, load=616.9, qualified=False, pin=1.25, physical=True, blocked=True, health=62.889, impacts=3
frame=205, load=605.8, qualified=False, pin=1.25, physical=True, blocked=True, health=62.642, impacts=3
frame=206, load=616.3, qualified=False, pin=1.25, physical=True, blocked=True, health=62.390, impacts=3
frame=207, load=605.8, qualified=False, pin=1.25, physical=True, blocked=True, health=62.143, impacts=3
frame=208, load=614.5, qualified=False, pin=1.25, physical=True, blocked=True, health=61.892, impacts=3
frame=209, load=604.7, qualified=False, pin=1.25, physical=True, blocked=True, health=61.645, impacts=3
frame=210, load=614.3, qualified=False, pin=1.25, physical=True, blocked=True, health=61.395, impacts=3
frame=211, load=604.4, qualified=False, pin=1.25, physical=True, blocked=True, health=61.148, impacts=3
frame=212, load=613.6, qualified=False, pin=1.25, physical=True, blocked=True, health=60.897, impacts=3
frame=213, load=603.8, qualified=False, pin=1.25, physical=True, blocked=True, health=60.651, impacts=3
frame=214, load=614.0, qualified=False, pin=1.25, physical=True, blocked=True, health=60.400, impacts=3
frame=215, load=604.7, qualified=False, pin=1.25, physical=True, blocked=True, health=60.154, impacts=3
frame=216, load=614.0, qualified=False, pin=1.25, physical=True, blocked=True, health=59.903, impacts=3
frame=217, load=604.5, qualified=False, pin=1.25, physical=True, blocked=True, health=59.656, impacts=3
frame=218, load=613.3, qualified=False, pin=1.25, physical=True, blocked=True, health=59.406, impacts=3
frame=219, load=603.7, qualified=False, pin=1.25, physical=True, blocked=True, health=59.160, impacts=3
frame=220, load=612.5, qualified=False, pin=1.25, physical=True, blocked=True, health=58.910, impacts=3
frame=221, load=603.0, qualified=False, pin=1.25, physical=True, blocked=True, health=58.663, impacts=3
frame=222, load=612.2, qualified=False, pin=1.25, physical=True, blocked=True, health=58.414, impacts=3
frame=223, load=602.3, qualified=False, pin=1.25, physical=True, blocked=True, health=58.168, impacts=3
frame=224, load=611.4, qualified=False, pin=1.25, physical=True, blocked=True, health=57.918, impacts=3
frame=225, load=601.3, qualified=False, pin=1.25, physical=True, blocked=True, health=57.673, impacts=3
frame=226, load=610.6, qualified=False, pin=1.25, physical=True, blocked=True, health=57.424, impacts=3
frame=227, load=600.5, qualified=False, pin=1.25, physical=True, blocked=True, health=57.178, impacts=3
frame=228, load=609.6, qualified=False, pin=1.25, physical=True, blocked=True, health=56.930, impacts=3
frame=229, load=599.8, qualified=False, pin=1.25, physical=True, blocked=True, health=56.685, impacts=3
frame=230, load=608.8, qualified=False, pin=1.25, physical=True, blocked=True, health=56.436, impacts=3
frame=231, load=599.4, qualified=False, pin=1.25, physical=True, blocked=True, health=56.192, impacts=3
frame=232, load=608.6, qualified=False, pin=1.25, physical=True, blocked=True, health=55.943, impacts=3
frame=233, load=599.1, qualified=False, pin=1.25, physical=True, blocked=True, health=55.699, impacts=3
frame=234, load=608.4, qualified=False, pin=1.25, physical=True, blocked=True, health=55.450, impacts=3
frame=235, load=598.9, qualified=False, pin=1.25, physical=True, blocked=True, health=55.206, impacts=3
frame=236, load=607.9, qualified=False, pin=1.25, physical=True, blocked=True, health=54.958, impacts=3
frame=237, load=598.5, qualified=False, pin=1.25, physical=True, blocked=True, health=54.714, impacts=3
frame=238, load=607.6, qualified=False, pin=1.25, physical=True, blocked=True, health=54.465, impacts=3
frame=239, load=598.1, qualified=False, pin=1.25, physical=True, blocked=True, health=54.221, impacts=3
frame=240, load=594.1, qualified=False, pin=1.25, physical=True, blocked=True, health=53.979, impacts=3
frame=241, load=591.1, qualified=False, pin=1.25, physical=True, blocked=True, health=53.738, impacts=3
frame=242, load=596.4, qualified=False, pin=1.25, physical=True, blocked=True, health=53.494, impacts=3
frame=243, load=597.5, qualified=False, pin=1.25, physical=True, blocked=True, health=53.250, impacts=3
frame=244, load=600.6, qualified=False, pin=1.25, physical=True, blocked=True, health=53.005, impacts=3
frame=245, load=593.2, qualified=False, pin=1.25, physical=True, blocked=True, health=52.763, impacts=3
frame=246, load=598.4, qualified=False, pin=1.25, physical=True, blocked=True, health=52.519, impacts=3
frame=247, load=589.9, qualified=False, pin=1.25, physical=True, blocked=True, health=52.278, impacts=3
frame=248, load=597.7, qualified=False, pin=1.25, physical=True, blocked=True, health=52.034, impacts=3
frame=249, load=589.5, qualified=False, pin=1.25, physical=True, blocked=True, health=51.794, impacts=3
frame=250, load=598.2, qualified=False, pin=1.25, physical=True, blocked=True, health=51.549, impacts=3
frame=251, load=568.4, qualified=False, pin=1.25, physical=True, blocked=True, health=51.317, impacts=3
frame=252, load=589.9, qualified=False, pin=1.25, physical=True, blocked=True, health=51.077, impacts=3
frame=253, load=607.1, qualified=False, pin=1.25, physical=True, blocked=True, health=50.829, impacts=3
frame=254, load=622.0, qualified=False, pin=1.25, physical=True, blocked=True, health=50.575, impacts=3
frame=255, load=606.4, qualified=False, pin=1.25, physical=True, blocked=True, health=50.327, impacts=3
frame=256, load=606.7, qualified=False, pin=1.25, physical=True, blocked=True, health=50.080, impacts=3
frame=257, load=592.3, qualified=False, pin=1.25, physical=True, blocked=True, health=49.838, impacts=3
frame=258, load=600.3, qualified=False, pin=1.25, physical=True, blocked=True, health=49.593, impacts=3
frame=259, load=592.0, qualified=False, pin=1.25, physical=True, blocked=True, health=49.351, impacts=3
frame=260, load=600.1, qualified=False, pin=1.25, physical=True, blocked=True, health=49.106, impacts=3
frame=261, load=591.9, qualified=False, pin=1.25, physical=True, blocked=True, health=48.865, impacts=3
frame=262, load=603.3, qualified=False, pin=1.25, physical=True, blocked=True, health=48.619, impacts=3
frame=263, load=593.4, qualified=False, pin=1.25, physical=True, blocked=True, health=48.376, impacts=3
frame=264, load=607.1, qualified=False, pin=1.25, physical=True, blocked=True, health=48.129, impacts=3
frame=265, load=593.5, qualified=False, pin=1.25, physical=True, blocked=True, health=47.886, impacts=3
frame=266, load=606.4, qualified=False, pin=1.25, physical=True, blocked=True, health=47.639, impacts=3
frame=267, load=595.8, qualified=False, pin=1.25, physical=True, blocked=True, health=47.396, impacts=3
frame=268, load=605.0, qualified=False, pin=1.25, physical=True, blocked=True, health=47.149, impacts=3
frame=269, load=601.9, qualified=False, pin=1.25, physical=True, blocked=True, health=46.903, impacts=3
frame=270, load=592.4, qualified=False, pin=1.25, physical=True, blocked=True, health=46.661, impacts=3
frame=271, load=602.9, qualified=False, pin=1.25, physical=True, blocked=True, health=46.415, impacts=3
frame=272, load=603.7, qualified=False, pin=1.25, physical=True, blocked=True, health=46.169, impacts=3
frame=273, load=591.3, qualified=False, pin=1.25, physical=True, blocked=True, health=45.927, impacts=3
frame=274, load=603.0, qualified=False, pin=1.25, physical=True, blocked=True, health=45.681, impacts=3
frame=275, load=605.8, qualified=False, pin=1.25, physical=True, blocked=True, health=45.434, impacts=3
frame=276, load=590.9, qualified=False, pin=1.25, physical=True, blocked=True, health=45.193, impacts=3
frame=277, load=601.9, qualified=False, pin=1.25, physical=True, blocked=True, health=44.947, impacts=3
frame=278, load=593.7, qualified=False, pin=1.25, physical=True, blocked=True, health=44.705, impacts=3
frame=279, load=605.1, qualified=False, pin=1.25, physical=True, blocked=True, health=44.458, impacts=3
frame=280, load=593.2, qualified=False, pin=1.25, physical=True, blocked=True, health=44.216, impacts=3
frame=281, load=604.8, qualified=False, pin=1.25, physical=True, blocked=True, health=43.969, impacts=3
frame=282, load=595.4, qualified=False, pin=1.25, physical=True, blocked=True, health=43.726, impacts=3
frame=283, load=607.2, qualified=False, pin=1.25, physical=True, blocked=True, health=43.478, impacts=3
frame=284, load=600.5, qualified=False, pin=1.25, physical=True, blocked=True, health=43.233, impacts=3
frame=285, load=604.2, qualified=False, pin=1.25, physical=True, blocked=True, health=42.986, impacts=3
frame=286, load=600.5, qualified=False, pin=1.25, physical=True, blocked=True, health=42.741, impacts=3
frame=287, load=585.9, qualified=False, pin=1.25, physical=True, blocked=True, health=42.502, impacts=3
frame=288, load=596.3, qualified=False, pin=1.25, physical=True, blocked=True, health=42.259, impacts=3
frame=289, load=595.7, qualified=False, pin=1.25, physical=True, blocked=True, health=42.015, impacts=3
frame=290, load=581.6, qualified=False, pin=1.25, physical=True, blocked=True, health=41.778, impacts=3
frame=291, load=594.4, qualified=False, pin=1.25, physical=True, blocked=True, health=41.535, impacts=3
frame=292, load=586.3, qualified=False, pin=1.25, physical=True, blocked=True, health=41.296, impacts=3
frame=293, load=584.3, qualified=False, pin=1.25, physical=True, blocked=True, health=41.058, impacts=3
