Production detached bot; dynamic 60kg broad basal stone plus eight 1kg stones under14m/s2 gravity; rotation-only constraint on basal stone; no injected damage.
frame=0, load=0.0, qualified=False, pin=0.00, physical=True, blocked=False, health=92.056, impacts=2
frame=28, load=941.2, qualified=False, pin=0.32, physical=True, blocked=True, health=92.056, impacts=2
frame=29, load=880.6, qualified=False, pin=0.34, physical=True, blocked=True, health=92.056, impacts=2
frame=30, load=848.0, qualified=False, pin=0.36, physical=True, blocked=True, health=92.056, impacts=2
frame=31, load=828.7, qualified=False, pin=0.38, physical=True, blocked=True, health=92.056, impacts=2
frame=32, load=827.0, qualified=False, pin=0.40, physical=True, blocked=True, health=92.056, impacts=2
frame=33, load=877.8, qualified=False, pin=0.42, physical=True, blocked=True, health=92.056, impacts=2
frame=34, load=880.8, qualified=False, pin=0.44, physical=True, blocked=True, health=92.056, impacts=2
frame=35, load=854.5, qualified=False, pin=0.46, physical=True, blocked=True, health=92.056, impacts=2
frame=36, load=867.0, qualified=False, pin=0.48, physical=True, blocked=True, health=92.056, impacts=2
frame=37, load=867.1, qualified=False, pin=0.50, physical=True, blocked=True, health=92.056, impacts=2
frame=38, load=851.7, qualified=False, pin=0.52, physical=True, blocked=True, health=92.056, impacts=2
frame=39, load=843.9, qualified=False, pin=0.54, physical=True, blocked=True, health=92.056, impacts=2
frame=40, load=848.7, qualified=False, pin=0.56, physical=True, blocked=True, health=92.056, impacts=2
frame=41, load=864.6, qualified=False, pin=0.58, physical=True, blocked=True, health=92.056, impacts=2
frame=42, load=879.6, qualified=False, pin=0.60, physical=True, blocked=True, health=92.056, impacts=2
frame=43, load=888.5, qualified=False, pin=0.62, physical=True, blocked=True, health=92.056, impacts=2
frame=44, load=886.7, qualified=False, pin=0.64, physical=True, blocked=True, health=92.056, impacts=2
frame=45, load=871.2, qualified=False, pin=0.66, physical=True, blocked=True, health=92.056, impacts=2
frame=46, load=851.9, qualified=False, pin=0.68, physical=True, blocked=True, health=92.056, impacts=2
frame=47, load=838.8, qualified=False, pin=0.70, physical=True, blocked=True, health=92.056, impacts=2
frame=48, load=832.1, qualified=False, pin=0.72, physical=True, blocked=True, health=92.056, impacts=2
frame=49, load=834.5, qualified=False, pin=0.74, physical=True, blocked=True, health=92.056, impacts=2
frame=50, load=842.8, qualified=False, pin=0.76, physical=True, blocked=True, health=92.056, impacts=2
frame=51, load=853.8, qualified=False, pin=0.78, physical=True, blocked=True, health=92.056, impacts=2
frame=52, load=861.5, qualified=False, pin=0.80, physical=True, blocked=True, health=92.056, impacts=2
frame=53, load=863.7, qualified=False, pin=0.82, physical=True, blocked=True, health=92.056, impacts=2
frame=54, load=861.6, qualified=False, pin=0.84, physical=True, blocked=True, health=92.056, impacts=2
frame=55, load=858.4, qualified=False, pin=0.86, physical=True, blocked=True, health=92.056, impacts=2
frame=56, load=856.0, qualified=False, pin=0.88, physical=True, blocked=True, health=92.056, impacts=2
frame=57, load=854.5, qualified=False, pin=0.90, physical=True, blocked=True, health=92.056, impacts=2
frame=58, load=853.9, qualified=False, pin=0.92, physical=True, blocked=True, health=92.056, impacts=2
frame=59, load=853.3, qualified=False, pin=0.94, physical=True, blocked=True, health=92.056, impacts=2
frame=60, load=852.8, qualified=False, pin=0.96, physical=True, blocked=True, health=92.056, impacts=2
frame=61, load=852.8, qualified=False, pin=0.98, physical=True, blocked=True, health=92.056, impacts=2
frame=62, load=853.1, qualified=False, pin=1.00, physical=True, blocked=True, health=92.056, impacts=2
frame=63, load=853.2, qualified=False, pin=1.02, physical=True, blocked=True, health=92.056, impacts=2
frame=64, load=853.3, qualified=False, pin=1.04, physical=True, blocked=True, health=92.056, impacts=2
frame=65, load=853.5, qualified=False, pin=1.06, physical=True, blocked=True, health=92.056, impacts=2
frame=66, load=854.7, qualified=False, pin=1.08, physical=True, blocked=True, health=92.056, impacts=2
frame=67, load=856.0, qualified=False, pin=1.10, physical=True, blocked=True, health=92.056, impacts=2
frame=68, load=857.8, qualified=False, pin=1.12, physical=True, blocked=True, health=92.056, impacts=2
frame=69, load=864.7, qualified=False, pin=1.14, physical=True, blocked=True, health=92.056, impacts=2
frame=70, load=873.1, qualified=False, pin=1.16, physical=True, blocked=True, health=92.056, impacts=2
frame=71, load=870.9, qualified=False, pin=1.18, physical=True, blocked=True, health=92.056, impacts=2
frame=72, load=863.5, qualified=False, pin=1.20, physical=True, blocked=True, health=92.056, impacts=2
frame=73, load=854.9, qualified=False, pin=1.22, physical=True, blocked=True, health=92.056, impacts=2
frame=74, load=846.3, qualified=False, pin=1.24, physical=True, blocked=True, health=92.056, impacts=2
frame=75, load=840.4, qualified=False, pin=1.25, physical=True, blocked=True, health=91.713, impacts=2
frame=76, load=838.5, qualified=False, pin=1.25, physical=True, blocked=True, health=91.371, impacts=2
frame=77, load=836.4, qualified=False, pin=1.25, physical=True, blocked=True, health=91.030, impacts=2
frame=78, load=832.9, qualified=False, pin=1.25, physical=True, blocked=True, health=90.690, impacts=2
frame=79, load=830.0, qualified=False, pin=1.25, physical=True, blocked=True, health=90.351, impacts=2
frame=80, load=829.6, qualified=False, pin=1.25, physical=True, blocked=True, health=90.012, impacts=2
frame=81, load=833.0, qualified=False, pin=1.25, physical=True, blocked=True, health=89.672, impacts=2
frame=82, load=841.1, qualified=False, pin=1.25, physical=True, blocked=True, health=89.329, impacts=2
frame=83, load=855.1, qualified=False, pin=1.25, physical=True, blocked=True, health=88.980, impacts=2
frame=84, load=869.2, qualified=False, pin=1.25, physical=True, blocked=True, health=88.625, impacts=2
frame=85, load=879.5, qualified=False, pin=1.25, physical=True, blocked=True, health=88.266, impacts=2
frame=86, load=882.2, qualified=False, pin=1.25, physical=True, blocked=True, health=87.906, impacts=2
frame=87, load=875.3, qualified=False, pin=1.25, physical=True, blocked=True, health=87.549, impacts=2
frame=88, load=865.2, qualified=False, pin=1.25, physical=True, blocked=True, health=87.196, impacts=2
frame=89, load=857.0, qualified=False, pin=1.25, physical=True, blocked=True, health=86.846, impacts=2
nonImpactDamage=5.210, samples=88, meanMs=0.022306, peakMs=0.076500
